9355: Flags [P.], seq 15041528:15041876, ack 8929, win 501, length 348
20:22:31.405096 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15314048:15314252, ack 9073, win 501, length 204
20:22:31.405158 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15314252:15314456, ack 9073, win 501, length 204
20:22:31.405214 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15314456:15314660, ack 9073, win 501, length 204
20:22:31.405272 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15314660:15314864, ack 9073, win 501, length 204
20:22:31.405327 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15314864:15315068, ack 9073, win 501, length 204
20:22:31.405384 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15315068:15315272, ack 9073, win 501, length 204
20:22:31.405441 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15315272:15315476, ack 9073, win 501, length 204
20:22:31.405498 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15315476:15315680, ack 9073, win 501, length 204
20:22:31.405517 IP bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355 > 165.22.238.61.ssh: Flags [.], ack 15296800, win 511, length 0
20:22:31.405517 IP bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355 > 165.22.238.61.ssh: Flags [.], ack 15301696, win 516, length 0
20:22:31.405600 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15315680:15316180, ack 9073, win 501, length 500
20:22:31.405660 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15316180:15316384, ack 9073, win 501, length 204
20:22:31.405730 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15316384:15316588, ack 9073, win 501, length 204
20:22:31.405790 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15316588:15316792, ack 9073, win 501, length 204
20:22:31.405847 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15316792:15316996, ack 9073, win 501, length 204
20:22:31.405879 IP bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355 > 165.22.238.61.ssh: Flags [.], ack 15305716, win 516, length 0
20:22:31.405935 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15316996:15317344, ack 9073, win 501, length 348
20:22:31.405995 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15317344:15317548, ack 9073, win 501, length 204
20:22:31.406055 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15317548:15317752, ack 9073, win 501, length 204
20:22:31.406112 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15317752:15317956, ack 9073, win 501, length 204
20:22:31.406170 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15317956:15318160, ack 9073, win 501, length 204
20:22:31.406233 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15318160:15318364, ack 9073, win 501, length 204
20:22:31.406291 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15318364:15318568, ack 9073, win 501, length 204
20:22:31.406346 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15318568:15318772, ack 9073, win 501, length 204
20:22:31.406404 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15318772:15318976, ack 9073, win 501, length 204
20:22:31.406458 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15318976:15319180, ack 9073, win 501, length 204
20:22:31.406516 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15319180:15319384, ack 9073, win 501, length 204
20:22:31.406575 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15319384:15319588, ack 9073, win 501, length 204
20:22:31.406634 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15319588:15319792, ack 9073, win 501, length 204
20:22:31.406705 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15319792:15319996, ack 9073, win 501, length 204
20:22:31.406749 IP bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355 > 165.22.238.61.ssh: Flags [.], ack 15307228, win 516, length 0
20:22:31.406797 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15319996:15320344, ack 9073, win 501, length 348
20:22:31.406855 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15320344:15320548, ack 9073, win 501, length 204
20:22:31.406923 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15320548:15320752, ack 9073, win 501, length 204
20:22:31.406981 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15320752:15320956, ack 9073, win 501, length 204
20:22:31.407036 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15320956:15321160, ack 9073, win 501, length 204
20:22:31.407093 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15321160:15321364, ack 9073, win 501, length 204
20:22:31.407150 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15321364:15321568, ack 9073, win 501, length 204
20:22:31.407205 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15321568:15321772, ack 9073, win 501, length 204
20:22:31.407269 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15321772:15321976, ack 9073, win 501, length 204
20:22:31.407325 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15321976:15322180, ack 9073, win 501, length 204
20:22:31.407393 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15322180:15322384, ack 9073, win 501, length 204
20:22:31.407452 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15322384:15322588, ack 9073, win 501, length 204
20:22:31.407506 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15322588:15322792, ack 9073, win 501, length 204
20:22:31.407561 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15322792:15322996, ack 9073, win 501, length 204
20:22:31.407624 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15322996:15323200, ack 9073, win 501, length 204
20:22:31.407682 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15323200:15323404, ack 9073, win 501, length 204
20:22:31.407739 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15323404:15323608, ack 9073, win 501, length 204
20:22:31.407798 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15323608:15323812, ack 9073, win 501, length 204
20:22:31.407854 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15323812:15324016, ack 9073, win 501, length 204
20:22:31.407884 IP bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355 > 165.22.238.61.ssh: Flags [.], ack 15310988, win 516, length 0
20:22:31.407884 IP bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355 > 165.22.238.61.ssh: Flags [P.], seq 9073:9109, ack 15310988, win 516, length 36
20:22:31.407884 IP bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355 > 165.22.238.61.ssh: Flags [.], ack 15313640, win 516, length 0
20:22:31.407974 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15324016:15324676, ack 9109, win 501, length 660
20:22:31.408038 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15324676:15324880, ack 9109, win 501, length 204
20:22:31.408095 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15324880:15325084, ack 9109, win 501, length 204
20:22:31.408151 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15325084:15325288, ack 9109, win 501, length 204
20:22:31.408206 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15325288:15325492, ack 9109, win 501, length 204
20:22:31.408264 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15325492:15325696, ack 9109, win 501, length 204
20:22:31.408348 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15325696:15325900, ack 9109, win 501, length 204
20:22:31.408424 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15325900:15326104, ack 9109, win 501, length 204
20:22:31.408486 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15326104:15326308, ack 9109, win 501, length 204
20:22:31.408505 IP bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355 > 165.22.238.61.ssh: Flags [.], ack 15316996, win 516, length 0
20:22:31.408569 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15326308:15326656, ack 9109, win 501, length 348
20:22:31.408626 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15326656:15326860, ack 9109, win 501, length 204
20:22:31.408682 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15326860:15327064, ack 9109, win 501, length 204
20:22:31.408738 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15327064:15327268, ack 9109, win 501, length 204
20:22:31.408793 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15327268:15327472, ack 9109, win 501, length 204
20:22:31.408857 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15327472:15327676, ack 9109, win 501, length 204
20:22:31.408911 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15327676:15327880, ack 9109, win 501, length 204
20:22:31.408968 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15327880:15328084, ack 9109, win 501, length 204
20:22:31.409042 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15328084:15328288, ack 9109, win 501, length 204
20:22:31.409098 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15328288:15328492, ack 9109, win 501, length 204
20:22:31.409154 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15328492:15328696, ack 9109, win 501, length 204
20:22:31.409210 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15328696:15328900, ack 9109, win 501, length 204
20:22:31.409294 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15328900:15329104, ack 9109, win 501, length 204
20:22:31.409368 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15329104:15329308, ack 9109, win 501, length 204
20:22:31.409431 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15329308:15329512, ack 9109, win 501, length 204
20:22:31.409491 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15329512:15329716, ack 9109, win 501, length 204
20:22:31.409546 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15329716:15329920, ack 9109, win 501, length 204
20:22:31.409647 IP bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355 > 165.22.238.61.ssh: Flags [.], ack 15319384, win 516, length 0
20:22:31.409691 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15329920:15330124, ack 9109, win 501, length 204
20:22:31.409747 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15330124:15330304, ack 9109, win 501, length 180
20:22:31.409799 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15330304:15330508, ack 9109, win 501, length 204
20:22:31.409852 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15330508:15330712, ack 9109, win 501, length 204
20:22:31.409906 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15330712:15330916, ack 9109, win 501, length 204
20:22:31.409958 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15330916:15331120, ack 9109, win 501, length 204
20:22:31.409987 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15331120:15331324, ack 9109, win 501, length 204
20:22:31.410051 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15331324:15331696, ack 9109, win 501, length 372
20:22:31.410107 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15331696:15331900, ack 9109, win 501, length 204
20:22:31.410161 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15331900:15332104, ack 9109, win 501, length 204
20:22:31.410216 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15332104:15332308, ack 9109, win 501, length 204
20:22:31.410255 IP bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355 > 165.22.238.61.ssh: Flags [.], ack 15323200, win 516, length 0
20:22:31.410307 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15332308:15332656, ack 9109, win 501, length 348
20:22:31.410365 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15332656:15332860, ack 9109, win 501, length 204
20:22:31.410420 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15332860:15333064, ack 9109, win 501, length 204
20:22:31.410479 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15333064:15333268, ack 9109, win 501, length 204
20:22:31.410533 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15333268:15333472, ack 9109, win 501, length 204
20:22:31.410587 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15333472:15333676, ack 9109, win 501, length 204
20:22:31.410646 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15333676:15333880, ack 9109, win 501, length 204
20:22:31.410713 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15333880:15334084, ack 9109, win 501, length 204
20:22:31.410772 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15334084:15334288, ack 9109, win 501, length 204
20:22:31.410830 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15334288:15334492, ack 9109, win 501, length 204
20:22:31.410869 IP bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355 > 165.22.238.61.ssh: Flags [.], ack 15325900, win 516, length 0
20:22:31.410914 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15334492:15334840, ack 9109, win 501, length 348
20:22:31.410976 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15334840:15335044, ack 9109, win 501, length 204
20:22:31.411035 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15335044:15335248, ack 9109, win 501, length 204
20:22:31.411090 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15335248:15335452, ack 9109, win 501, length 204
20:22:31.411148 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15335452:15335656, ack 9109, win 501, length 204
20:22:31.411212 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15335656:15335860, ack 9109, win 501, length 204
20:22:31.411278 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15335860:15336064, ack 9109, win 501, length 204
20:22:31.411333 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15336064:15336268, ack 9109, win 501, length 204
20:22:31.411372 IP bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355 > 165.22.238.61.ssh: Flags [.], ack 15328084, win 516, length 0
20:22:31.411417 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15336268:15336616, ack 9109, win 501, length 348
20:22:31.411477 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15336616:15336820, ack 9109, win 501, length 204
20:22:31.411538 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15336820:15337024, ack 9109, win 501, length 204
20:22:31.411592 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15337024:15337228, ack 9109, win 501, length 204
20:22:31.411651 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15337228:15337432, ack 9109, win 501, length 204
20:22:31.411705 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15337432:15337636, ack 9109, win 501, length 204
20:22:31.411762 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15337636:15337840, ack 9109, win 501, length 204
20:22:31.411818 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15337840:15338044, ack 9109, win 501, length 204
20:22:31.411875 IP bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355 > 165.22.238.61.ssh: Flags [.], ack 15329920, win 516, length 0
20:22:31.411909 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15338044:15338248, ack 9109, win 501, length 204
20:22:31.411946 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15338248:15338428, ack 9109, win 501, length 180
20:22:31.412011 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15338428:15338800, ack 9109, win 501, length 372
20:22:31.412068 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15338800:15339004, ack 9109, win 501, length 204
20:22:31.412125 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15339004:15339208, ack 9109, win 501, length 204
20:22:31.412197 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15339208:15339412, ack 9109, win 501, length 204
20:22:31.412264 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15339412:15339616, ack 9109, win 501, length 204
20:22:31.412319 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15339616:15339820, ack 9109, win 501, length 204
20:22:31.412388 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15339820:15340024, ack 9109, win 501, length 204
20:22:31.412446 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15340024:15340228, ack 9109, win 501, length 204
20:22:31.412502 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15340228:15340432, ack 9109, win 501, length 204
20:22:31.412559 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15340432:15340636, ack 9109, win 501, length 204
20:22:31.412619 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15340636:15340840, ack 9109, win 501, length 204
20:22:31.412677 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15340840:15341044, ack 9109, win 501, length 204
20:22:31.412739 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15341044:15341248, ack 9109, win 501, length 204
20:22:31.412800 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15341248:15341452, ack 9109, win 501, length 204
20:22:31.412855 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15341452:15341656, ack 9109, win 501, length 204
20:22:31.412910 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15341656:15341860, ack 9109, win 501, length 204
20:22:31.412969 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15341860:15342064, ack 9109, win 501, length 204
20:22:31.413026 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15342064:15342268, ack 9109, win 501, length 204
20:22:31.413083 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15342268:15342472, ack 9109, win 501, length 204
20:22:31.413117 IP bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355 > 165.22.238.61.ssh: Flags [.], ack 15331324, win 510, length 0
20:22:31.413170 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15342472:15342820, ack 9109, win 501, length 348
20:22:31.413229 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15342820:15343024, ack 9109, win 501, length 204
20:22:31.413286 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15343024:15343228, ack 9109, win 501, length 204
20:22:31.413479 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15343228:15343432, ack 9109, win 501, length 204
20:22:31.413573 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15343432:15343636, ack 9109, win 501, length 204
